years_experience,skills_match_score,project_count,resume_length,github_activity,education_level_Bachelors,education_level_High School,education_level_Masters,education_level_PhD,shortlisted
-0.3258127044788849,0.6571388513588331,-0.7868560027080227,-1.894636557772797,-1.04571158995537,1.0,0.0,0.0,0.0,No
-0.97459787612965,-0.8697945477402355,-1.2184514259946844,-0.39497458993104395,-1.5521225739268054,0.0,0.0,1.0,0.0,No
0.9717576388226454,1.5697201406641357,0.2921325555086316,1.009559566517762,0.3484816128301872,0.0,0.0,1.0,0.0,Yes
1.404281086589822,-0.41052161129246906,-0.5710582910646919,-0.2438892424245987,0.5110332866975615,0.0,1.0,0.0,0.0,Yes
0.5392341910554687,1.5458618063032123,-0.13946286777803013,1.015155320129112,0.0358822400083134,1.0,0.0,0.0,0.0,Yes
-0.1095509805952965,0.024892990794374566,0.2921325555086316,0.013515423697493242,-0.2204492457056231,1.0,0.0,0.0,0.0,Yes
0.9717576388226454,0.8241471918852936,0.2921325555086316,-0.3166340393721464,0.5985611110876863,1.0,0.0,0.0,0.0,Yes
-0.7583361522460617,-1.1620591436615415,-0.5710582910646919,-1.3294654430264647,-0.43926880668093476,0.0,0.0,1.0,0.0,No
-0.3258127044788849,0.40066175697891165,-0.13946286777803013,-0.6188047343850369,-0.1454253962283734,1.0,0.0,0.0,0.0,Yes
0.3229724671718803,0.79432427393414,0.07633484386530073,0.10864323509044026,0.22969385115787516,1.0,0.0,0.0,0.0,Yes
-1.1908596000132383,-1.287315399056387,-0.7868560027080227,-0.008867590747906056,-0.7768761293285584,0.0,1.0,0.0,0.0,No
-0.3258127044788849,-2.158144603230075,0.5079302671519624,0.024706930920192893,-0.45177278159380974,1.0,0.0,0.0,0.0,Yes
0.5392341910554687,-0.32105285743900797,0.5079302671519624,0.6738143498367726,0.06089018983406331,0.0,0.0,0.0,1.0,Yes
0.5392341910554687,-0.7683966267063133,0.2921325555086316,0.9088360015134652,0.6110650860005612,1.0,0.0,0.0,0.0,Yes
-0.1095509805952965,0.4960950944226031,0.7237279787952933,0.24853707537418587,-0.014133659643186402,0.0,0.0,1.0,0.0,Yes
-0.7583361522460617,-0.6789278728528522,-0.7868560027080227,-0.5964217199396377,-1.008199665216745,0.0,0.0,1.0,0.0,No
-0.97459787612965,-1.0069799703155426,-0.7868560027080227,-0.9321669366206271,-0.09540949657687359,1.0,0.0,0.0,0.0,No
-0.1095509805952965,-0.41052161129246906,-0.13946286777803013,-1.346252703860514,-0.32048104500862273,0.0,0.0,1.0,0.0,Yes
